"article_id","product_code","name","product_type_no","product_type_name","category","graphical_appearance_no","graphical_appearance_name","colour_group_code","colour_group_name","perceived_colour_value_id","perceived_colour_value_name","perceived_colour_master_id","perceived_colour_master_name","department_no","department_name","index_code","index_name","index_group_no","index_group_name","section_no","section_name","garment_group_no","garment_group_name","description","price"
813476001,813476,"Habib pullon",272,"Trousers","Garment Lower body",1010016,"Solid",8,"Dark Grey",4,"Dark",12,"Grey",7656,"Kids Boy Trouser","H","Children Sizes 92-140",4,"Baby/Children",46,"Kids Boy",1009,"Trousers","Pull-on trousers in a cotton weave with an elasticated, drawstring waist, a back pocket and tapered legs.",6.25
633952002,633952,"ES Hawaii trousers",272,"Trousers","Garment Lower body",1010017,"Stripe",73,"Dark Blue",4,"Dark",2,"Blue",8756,"Young Boy Trouser","I","Children Sizes 134-170",4,"Baby/Children",47,"Young Boy",1009,"Trousers","Pull-on trousers in a cotton weave with an elasticated drawstring waist and fake fly. Side pockets, a back pocket and tapered legs.",95.56
624975004,624975,"Rebecca Tanktop BG",253,"Vest top","Garment Upper body",1010016,"Solid",73,"Dark Blue",4,"Dark",2,"Blue",7932,"Young Girl UW/NW","I","Children Sizes 134-170",4,"Baby/Children",79,"Girls Underwear & Basics",1017,"Under-, Nightwear","Vest tops in soft cotton jersey, one with a small print on the chest. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. ",25
578471005,578471,"Tudor Trenchcoat",263,"Coat","Garment Upper body",1010016,"Solid",13,"Beige",2,"Medium Dusty",11,"Beige",1201,"Outwear","A","Ladieswear",1,"Ladieswear",19,"Womens Jackets",1007,"Outdoor","Lorem ipsum dolor sit amet consectetur adipiscing elit venenatis, egestas dis habitant vehicula curae dictumst sed arcu orci, aptent vestibulum quis litora volutpat est praesent. Per eu eget gravida ultrices vivamus semper rutrum, in cum ridiculus ullamcorper magnis consequat ut morbi, nunc sociis porta habitant phasellus elementum. ",50
870576002,870576,"Mona LS",255,"T-shirt","Garment Upper body",1010014,"Placement print",9,"Black",4,"Dark",5,"Black",8716,"Young Girl Jersey Fancy","I","Children Sizes 134-170",4,"Baby/Children",77,"Young Girl",1005,"Jersey Fancy","Long-sleeved top in soft, printed cotton jersey with a round neckline, dropped shoulders and ribbing around the neckline and cuffs.",20.25
558246007,558246,"RAIDER tights",273,"Leggings/Tights","Garment Lower body",1010012,"Mixed solid/pattern",9,"Black",4,"Dark",5,"Black",8310,"Ladies Sport Bottoms","S","Sport",26,"Sport",5,"Ladies H&M Sport",1005,"Jersey Fancy","Sports tights in fast-drying functional fabric with a wide waistband with a concealed key pocket. The polyester content of the tights is recycled.",75.88
452717006,452717,"Corsica",252,"Sweater","Garment Upper body",1010017,"Stripe",10,"White",3,"Light",9,"White",2034,"Knitwear","A","Ladieswear",1,"Ladieswear",8,"Mama",1003,"Knitwear","Long-sleeved jumper in a soft, fine knit with decorative buttons on one shoulder and wide ribbing at the cuffs and hem. Gathers in the side seams for best fit.",30.5
563577007,563577,"BB Tobbe bomber",262,"Jacket","Garment Upper body",1010016,"Solid",73,"Dark Blue",4,"Dark",2,"Blue",8852,"Young Boy Outdoor","I","Children Sizes 134-170",4,"Baby/Children",45,"Kids Outerwear",1007,"Outdoor","Lightly padded bomber jacket in woven fabric with a sheen. Ribbed stand-up collar, a zip down the front and flap side pockets with a press-stud. Zipped pocket and a fabric appliqué on one sleeve, and ribbing at the cuffs and hem. Quilted lining.",20
873108001,873108,"Wendy wind",262,"Jacket","Garment Upper body",1010006,"Dot",22,"Yellow",7,"Medium",8,"Yellow",7812,"Kids Girl Outdoor","H","Children Sizes 92-140",4,"Baby/Children",45,"Kids Outerwear",1007,"Outdoor","Lightweight jacket in a patterned weave made from recycled polyester with a detachable, lined hood, stand-up collar and zip down the front with a chin guard. Long raglan sleeves with narrow, covered elastication at the cuffs, front pockets, and elastication at the hem. Lined.",50
649327001,649327,"LOVE Cap",69,"Cap/peaked","Accessories",1010007,"Embroidery",9,"Black",4,"Dark",5,"Black",4090,"Promotion/ Other /Offer","D","Divided",2,"Divided",50,"Divided Projects",1023,"Special Offers","Cap in cotton twill with embroidered text. Adjustable tab and clip fastener at the back.",43.71
